2026-06-29 09:14:48.597 | INFO     | __main__:main | No arguments provided, defaulting to AAPL
2026-06-29 09:14:48.604 | INFO     | extractor:extract | 🚀 Starting extraction for AAPL
2026-06-29 09:14:48.607 | INFO     | extractor:from_ticker | 📥 Downloading 10-K for AAPL...
2026-06-29 09:14:49.847 | ERROR    | __main__:main | ❌ Extraction failed: No 10-K found for AAPL
2026-06-29 09:22:41.165 | INFO     | __main__:main | No arguments provided, defaulting to AAPL
2026-06-29 09:22:41.181 | INFO     | extractor:extract | 🚀 Starting extraction for AAPL
2026-06-29 09:22:41.181 | INFO     | extractor:from_ticker | 📥 Downloading 10-K for AAPL...
2026-06-29 09:22:42.174 | INFO     | extractor:from_ticker | Found filing: https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/0000320193-25-000079-index.htm
2026-06-29 09:22:43.525 | INFO     | extractor:from_ticker | ✅ Downloaded 73 characters
2026-06-29 09:22:43.533 | INFO     | extractor:identify_sections | Found sections: []
2026-06-29 09:22:43.533 | INFO     | extractor:extract | 🔄 Running extraction workflow...
2026-06-29 09:22:43.559 | INFO     | extractor:_extract_financials | 💰 Extracting financial statements...
2026-06-29 09:22:46.653 | SUCCESS  | extractor:_extract_financials | ✅ Extracted financial data for 
2026-06-29 09:22:46.653 | INFO     | extractor:_validate_data | 🔍 Validating extracted data...
2026-06-29 09:22:46.653 | INFO     | extractor:_validate_data | Validation score: 33.3% (1/3 checks passed)
2026-06-29 09:22:46.669 | INFO     | extractor:_extract_risks | ⚠️ Extracting risk factors...
2026-06-29 09:22:48.029 | SUCCESS  | extractor:_extract_risks | ✅ Extracted 0 risks
2026-06-29 09:22:48.029 | INFO     | extractor:_extract_segments | 🏢 Extracting business segments...
2026-06-29 09:22:49.091 | SUCCESS  | extractor:_extract_segments | ✅ Extracted 0 segments
2026-06-29 09:22:49.096 | INFO     | extractor:_quality_check | 📊 Running quality check...
2026-06-29 09:22:49.096 | ERROR    | extractor:_quality_check | ❌ Quality check failed: 33.3%
2026-06-29 09:22:49.100 | SUCCESS  | extractor:extract | ✅ Extraction complete in 7.9s
2026-06-29 09:22:49.100 | INFO     | extractor:extract | 📁 Results saved to: C:\Users\91964\Desktop\Denave\financial-extractor\data\output\AAPL_20260629_092249.json
2026-06-29 09:22:49.104 | ERROR    | __main__:main | ❌ Extraction failed: unsupported format string passed to NoneType.__format__
2026-06-29 10:00:20.446 | INFO     | __main__:main | No arguments provided, defaulting to AAPL
2026-06-29 10:00:20.468 | INFO     | extractor:extract | 🚀 Starting extraction for AAPL
2026-06-29 10:00:20.468 | INFO     | extractor:from_ticker | 📥 Downloading 10-K for AAPL...
2026-06-29 10:00:22.893 | INFO     | extractor:from_ticker | Found filing: https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/0000320193-25-000079-index.htm
2026-06-29 10:00:24.816 | INFO     | extractor:from_ticker | ✅ Downloaded 73 characters
2026-06-29 10:00:24.822 | INFO     | extractor:identify_sections | Found sections: []
2026-06-29 10:00:24.823 | INFO     | extractor:extract | 🔄 Running extraction workflow...
2026-06-29 10:00:24.838 | INFO     | extractor:_extract_financials | 💰 Extracting financial statements...
2026-06-29 10:00:28.265 | SUCCESS  | extractor:_extract_financials | ✅ Extracted financial data for 
2026-06-29 10:00:28.270 | INFO     | extractor:_validate_data | 🔍 Validating extracted data...
2026-06-29 10:00:28.270 | INFO     | extractor:_validate_data | Validation score: 33.3% (1/3 checks passed)
2026-06-29 10:00:28.274 | INFO     | extractor:_extract_risks | ⚠️ Extracting risk factors...
2026-06-29 10:00:29.897 | SUCCESS  | extractor:_extract_risks | ✅ Extracted 0 risks
2026-06-29 10:00:29.899 | INFO     | extractor:_extract_segments | 🏢 Extracting business segments...
2026-06-29 10:00:30.598 | SUCCESS  | extractor:_extract_segments | ✅ Extracted 0 segments
2026-06-29 10:00:30.598 | INFO     | extractor:_quality_check | 📊 Running quality check...
2026-06-29 10:00:30.598 | ERROR    | extractor:_quality_check | ❌ Quality check failed: 33.3%
